Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Male,Country,GDP origin,GDP,Timestamp,Clicked on Ad,Ad Topic Line,Region,Month,DayOfWeek,Hour
84.59,35,60015.57,226.54,1,Cameroon,33814337900,-0.22,3/18/2016 13:22,0,Streamlined,Africa,M3,D6,H13
41.49,52,32635.7,164.83,0,Burundi,2639321161,-0.25,5/20/2016 8:49,1,Mandatory,Africa,M5,D6,H8
87.29,36,61628.72,209.93,1,Korea,73215012755,-0.18,3/23/2016 9:43,0,Future-proofed,Asia,M3,D4,H9
41.39,41,68962.32,167.22,0,Tokelau,843929640,-0.25,6/13/2016 17:27,1,Exclusive,Oceania,M6,D2,H17
78.74,28,64828,204.79,1,Monaco,6472990923,-0.25,5/27/2016 15:25,0,Public-key,Europe,M5,D6,H15
48.53,28,38067.08,134.14,1,Tuvalu,41629497,-0.25,2/8/2016 10:46,1,Ameliorated,Oceania,M2,D2,H10
51.95,52,58295.82,129.23,0,Greece,1.93E+11,-0.06,7/19/2016 8:32,1,Monitored,Europe,M7,D3,H8
70.2,34,32708.94,119.2,0,British Virgin Islands,14032401568,-0.24,4/14/2016 5:08,1,Open-architected,North America,M4,D5,H5
76.02,22,46179.97,209.82,0,Bouvet Island (Bouvetoya),843929640,-0.25,1/27/2016 12:38,0,Business-focused,Oceania,M1,D4,H12
67.64,35,51473.28,267.01,1,Peru,1.92E+11,-0.06,7/2/2016 20:23,0,Programmable,South America,M7,D7,H20
86.41,28,45593.93,207.48,1,Aruba,2983798883,-0.25,3/1/2016 22:13,0,Digitized,North America,M3,D3,H22
59.05,57,25583.29,169.23,1,Maldives,4379136462,-0.25,7/15/2016 5:05,1,Digitized,Asia,M7,D6,H5
55.6,23,30227.98,212.58,0,Senegal,19040312815,-0.23,1/14/2016 14:00,1,Multi-layered,Africa,M1,D5,H14
57.64,57,45580.92,133.81,1,Dominica,576229630,-0.25,3/15/2016 3:12,1,Synchronized,North America,M3,D3,H3
84.37,30,61389.5,201.58,0,Luxembourg,62216885436,-0.19,4/12/2016 3:26,0,Synchronized,Europe,M4,D3,H3
62.26,53,56770.79,125.45,1,Montenegro,4377033429,-0.25,4/7/2016 15:18,1,Profound,Europe,M4,D5,H15
65.82,39,76435.3,221.94,0,Ukraine,93355993629,-0.16,2/9/2016 5:28,0,Reactive,Europe,M2,D3,H5
50.43,46,57425.87,119.32,1,Saint Helena,62216885436,-0.19,5/7/2016 17:11,1,Persevering,Europe,M5,D7,H17
38.93,39,27508.41,162.08,0,Liberia,3398419600,-0.25,3/11/2016 6:49,1,Intuitive,Africa,M3,D6,H6
84.98,29,57691.95,202.61,0,Russian Federation,1.28E+12,1.03,4/27/2016 9:27,0,Innovative,Europe,M4,D4,H9
64.24,30,59784.18,252.36,0,Tunisia,44360754190,-0.21,4/16/2016 11:53,0,Front-line,Africa,M4,D7,H11
82.52,32,66572.39,198.11,1,Turkmenistan,36169428571,-0.22,5/8/2016 15:38,0,Persevering,Asia,M5,D1,H15
81.38,31,64929.61,212.3,0,Saint Helena,62216885436,-0.19,2/8/2016 0:23,0,Balanced,Europe,M2,D2,H0
80.47,25,57519.64,204.86,0,Niger,10398862245,-0.24,2/11/2016 13:26,0,Reduced,Africa,M2,D5,H13
37.68,52,53575.48,172.83,1,Turkmenistan,36169428571,-0.22,2/17/2016 13:16,1,Organic,Asia,M2,D4,H13
69.62,20,50983.75,202.25,1,Qatar,1.52E+11,-0.1,2/26/2016 22:46,0,Business-focused,Asia,M2,D6,H22
85.4,43,67058.72,198.72,0,Sri Lanka,88012262257,-0.17,6/8/2016 18:54,0,Triple-buffered,Asia,M6,D4,H18
44.33,37,52723.34,123.72,1,Trinidad and Tobago,23496215885,-0.23,1/8/2016 9:32,1,Visionary,North America,M1,D6,H9
48.01,46,54286.1,119.93,0,Italy,1.88E+12,1.63,4/25/2016 11:01,1,Centralized,Europe,M4,D2,H11
73.18,23,61526.25,196.71,1,British Virgin Islands,14032401568,-0.24,4/4/2016 7:07,0,Organized,North America,M4,D2,H7
79.94,28,58526.04,225.29,0,United Kingdom,2.7E+12,2.45,5/3/2016 21:19,0,Visionary,Europe,M5,D3,H21
33.33,45,53350.11,193.58,1,Guinea-Bissau,1179004941,-0.25,1/17/2016 9:31,1,Pre-emptive,Africa,M1,D1,H9
50.33,50,62657.53,133.2,1,Micronesia,843929640,-0.25,3/2/2016 4:57,1,Sharable,Oceania,M3,D4,H4
62.31,47,62722.57,119.3,0,Turkey,73215012755,-0.18,2/14/2016 7:36,1,Team-oriented,Asia,M2,D1,H7
80.6,31,67479.62,177.55,0,Croatia,52397494687,-0.2,4/7/2016 3:56,0,Sharable,Europe,M4,D5,H3
65.19,36,75254.88,150.61,0,Israel,3.22E+11,0.07,2/17/2016 11:42,1,Cross-group,Asia,M2,D4,H11
44.98,49,52336.64,129.31,0,Svalbard & Jan Mayen Islands,62216885436,-0.19,4/10/2016 0:13,1,Organized,Europe,M4,D1,H0
77.63,29,56113.37,239.22,0,Azerbaijan,37867518957,-0.22,2/14/2016 17:05,0,Upgradable,Asia,M2,D1,H17
41.82,41,24852.9,156.36,0,Iran,73215012755,-0.18,5/26/2016 22:49,1,Phased,Asia,M5,D5,H22
85.61,27,47708.42,183.43,0,Burundi,2639321161,-0.25,4/30/2016 8:07,0,Customer-focused,Africa,M4,D7,H8
85.84,34,64654.66,192.93,1,Saint Vincent and the Grenadines,14032401568,-0.24,6/15/2016 5:30,0,Front-line,North America,M6,D4,H5
72.08,29,71228.44,169.5,0,Burundi,2639321161,-0.25,3/9/2016 14:45,0,Stand-alone,Africa,M3,D4,H14
86.06,32,61601.05,178.92,1,Bulgaria,53953897624,-0.2,3/31/2016 20:55,0,Focused,Europe,M3,D5,H20
45.96,45,66281.46,141.22,0,Christmas Island,73215012755,-0.18,6/3/2016 0:55,1,Streamlined,Asia,M6,D6,H0
62.42,29,73910.9,198.5,1,Canada,1.53E+12,1.28,3/10/2016 23:36,0,Upgradable,North America,M3,D5,H23
63.89,40,51317.33,105.22,0,Rwanda,8690878328,-0.25,1/8/2016 0:17,1,Synchronized,Africa,M1,D6,H0
35.33,32,51510.18,200.22,0,Turks and Caicos Islands,1032452000,-0.25,6/5/2016 22:11,1,Organized,North America,M6,D1,H22
75.74,25,61005.87,215.25,1,Tunisia,44360754190,-0.21,1/16/2016 11:35,0,Ergonomic,Africa,M1,D7,H11
78.53,34,32536.98,131.72,0,Norfolk Island,843929640,-0.25,4/22/2016 20:10,1,Synergized,Oceania,M4,D6,H20
46.13,31,60248.97,139.01,0,Bouvet Island (Bouvetoya),843929640,-0.25,2/1/2016 9:00,1,Customer-focused,Oceania,M2,D2,H9
69.01,46,74543.81,222.63,0,Turks and Caicos Islands,1032452000,-0.25,7/7/2016 13:37,0,Advanced,North America,M7,D5,H13
55.35,39,75509.61,153.17,1,Cook Islands,843929640,-0.25,3/8/2016 0:37,1,De-engineered,Oceania,M3,D3,H0
33.21,43,42650.32,167.07,1,Turkey,73215012755,-0.18,5/10/2016 17:39,1,Polarized,Asia,M5,D3,H17
38.46,42,58183.04,145.98,1,Guatemala,66053725049,-0.19,4/6/2016 11:24,1,Customizable,North America,M4,D4,H11
64.1,22,60465.72,215.93,0,Cote d'Ivoire,47964234560,-0.21,4/1/2016 16:21,0,Seamless,Africa,M4,D6,H16
49.81,35,57009.76,120.06,1,Faroe Islands,2813286391,-0.25,1/5/2016 4:18,1,Seamless,Europe,M1,D3,H4
82.73,33,54541.56,238.99,1,Qatar,1.52E+11,-0.1,5/20/2016 21:31,0,Grass-roots,Asia,M5,D6,H21
56.14,38,32689.04,113.53,1,Ireland,2.99E+11,0.05,2/3/2016 7:59,1,Devolved,Europe,M2,D4,H7
55.13,45,55605.92,111.71,0,Ukraine,93355993629,-0.16,2/17/2016 21:55,1,Customizable,Europe,M2,D4,H21
78.11,27,63296.87,209.25,1,Moldova,8071469355,-0.25,1/30/2016 16:10,0,Progressive,Europe,M1,D7,H16
73.46,28,65653.47,222.75,1,Nicaragua,13286083645,-0.24,5/15/2016 14:41,0,Innovative,North America,M5,D1,H14
56.64,38,61652.53,115.91,0,Montserrat,14032401568,-0.24,1/5/2016 17:56,1,Down-sized,North America,M1,D3,H17
68.94,54,30726.26,138.71,0,Timor-Leste,1650619370,-0.25,4/19/2016 7:34,1,Streamlined,Asia,M4,D3,H7
70.79,31,74535.94,184.1,0,Bouvet Island (Bouvetoya),843929640,-0.25,3/15/2016 15:49,0,Distributed,Oceania,M3,D3,H15
57.76,41,47861.93,105.15,0,Puerto Rico,1.04E+11,-0.15,6/12/2016 15:25,1,Triple-buffered,North America,M6,D1,H15
77.51,36,73600.28,200.55,0,Central African Republic,1825018191,-0.25,7/1/2016 4:41,0,Total,Africa,M7,D6,H4
52.7,34,58543.94,118.6,1,Venezuela,99937696000,-0.15,5/8/2016 12:12,1,Integrated,South America,M5,D1,H12
57.7,34,42696.67,109.07,0,Australia,1.21E+12,0.96,3/14/2016 23:13,1,Phased,Oceania,M3,D2,H23
56.89,37,37334.78,109.29,1,Wallis and Futuna,843929640,-0.25,5/25/2016 0:19,1,Open-source,Oceania,M5,D4,H0
69.9,43,71392.53,138.35,0,Jersey,62216885436,-0.19,5/13/2016 11:51,1,Down-sized,Europe,M5,D6,H11
55.79,24,59550.05,149.67,0,Puerto Rico,1.04E+11,-0.15,2/20/2016 20:47,1,Pre-emptive,North America,M2,D7,H20
70.03,26,64264.25,227.72,1,Samoa,843929640,-0.25,5/22/2016 20:49,0,Versatile,Oceania,M5,D1,H20
50.08,40,64147.86,125.85,1,Greece,1.93E+11,-0.06,4/10/2016 2:02,1,Ergonomic,Europe,M4,D1,H2
43.67,31,25686.34,166.29,1,Antarctica (the territory South of 60 deg S),843929640,-0.25,2/28/2016 6:41,1,Automated,Oceania,M2,D1,H6
72.84,26,52968.22,238.63,0,Albania,11861199831,-0.24,7/8/2016 21:18,0,Progressive,Europe,M7,D6,H21
45.72,36,22473.08,154.02,1,Hong Kong,73215012755,-0.18,4/19/2016 15:14,1,Versatile,Asia,M4,D3,H15
39.94,41,64927.19,156.3,0,Lithuania,43047309306,-0.21,1/8/2016 22:47,1,Function-based,Europe,M1,D6,H22
35.61,46,51868.85,158.22,0,Egypt,3.32E+11,0.08,3/28/2016 8:46,1,Up-sized,Africa,M3,D2,H8
79.71,34,69456.83,211.65,1,Bangladesh,2.65E+11,0.01,7/2/2016 14:57,0,Seamless,Asia,M7,D7,H14
41.49,53,31947.65,169.18,0,Western Sahara,11892806509,-0.24,7/3/2016 9:22,1,Persevering,Africa,M7,D1,H9
63.6,23,51864.77,235.28,1,Serbia,40692643373,-0.21,6/1/2016 9:27,0,Centralized,Europe,M6,D4,H9
89.91,40,59593.56,194.23,0,Maldives,4379136462,-0.25,7/9/2016 14:55,0,Innovative,Asia,M7,D7,H14
68.18,21,48376.14,218.17,1,Czech Republic,62216885436,-0.19,2/9/2016 22:04,0,Switchable,Europe,M2,D3,H22
66.49,20,56884.74,202.16,0,Guernsey,62216885436,-0.19,6/10/2016 11:31,0,Polarized,Europe,M6,D6,H11
80.49,40,67186.54,229.12,1,Tanzania,49774004999,-0.2,2/14/2016 3:50,0,Balanced,Africa,M2,D1,H3
72.23,25,46557.92,241.03,1,Bhutan,2158972129,-0.25,7/5/2016 17:17,0,Focused,Asia,M7,D3,H17
42.39,42,66541.05,150.99,0,Christmas Island,73215012755,-0.18,4/28/2016 5:50,1,De-engineered,Asia,M4,D5,H5
47.53,30,33258.09,135.18,0,Guinea,8595955581,-0.25,4/3/2016 5:10,1,Customer-focused,Africa,M4,D1,H5
74.02,32,72272.9,210.54,0,Micronesia,843929640,-0.25,3/9/2016 14:57,0,Operative,Oceania,M3,D4,H14
66.63,60,60333.38,176.98,0,Madagascar,11848613735,-0.24,1/16/2016 23:37,1,User-friendly,Africa,M1,D7,H23
63.24,53,65229.13,235.78,1,Lebanon,51147308774,-0.2,7/3/2016 4:33,1,Future-proofed,Asia,M7,D1,H4
71,22,56067.38,211.87,0,Eritrea,11892806509,-0.24,3/14/2016 6:46,0,Extended,Africa,M3,D2,H6
46.13,46,37838.72,123.64,1,Guyana,4482697337,-0.25,1/9/2016 5:44,1,Horizontal,South America,M1,D7,H5
69,32,72683.35,221.21,1,Trinidad and Tobago,23496215885,-0.23,2/11/2016 4:37,0,Virtual,North America,M2,D5,H4
76.99,31,56729.78,244.34,1,Jersey,62216885436,-0.19,6/22/2016 7:33,0,Switchable,Europe,M6,D4,H7
72.6,55,66815.54,162.95,0,United Arab Emirates,3.69E+11,0.12,7/13/2016 16:12,1,Focused,Asia,M7,D4,H16
61.88,42,60223.52,112.19,1,Martinique,14032401568,-0.24,7/23/2016 11:46,1,Balanced,North America,M7,D7,H11
84.45,50,29727.79,207.18,0,Somalia,5534000000,-0.25,7/13/2016 4:10,1,Customer-focused,Africa,M7,D4,H4
88.97,45,49269.98,152.49,0,Bhutan,2158972129,-0.25,6/11/2016 18:32,1,Advanced,Asia,M6,D7,H18
86.19,31,57669.41,210.26,1,Greece,1.93E+11,-0.06,5/8/2016 12:51,0,Pre-emptive,Europe,M5,D1,H12
49.58,26,56791.75,231.94,0,Benin,11821065852,-0.24,4/7/2016 16:02,0,Self-enabling,Africa,M4,D5,H16
77.65,27,63274.88,212.79,0,Papua New Guinea,20759069103,-0.23,2/4/2016 13:30,0,Horizontal,Oceania,M2,D5,H13
37.75,36,35466.8,225.24,0,Uzbekistan,86138288615,-0.17,2/26/2016 19:48,1,Polarized,Asia,M2,D6,H19
62.33,43,68787.09,127.11,0,South Africa,3.24E+11,0.07,6/21/2016 13:15,1,Devolved,Africa,M6,D3,H13
79.57,31,61227.59,230.93,0,Egypt,3.32E+11,0.08,5/17/2016 4:27,0,User-friendly,Africa,M5,D3,H4
80.31,44,56366.88,127.07,0,Hungary,1.29E+11,-0.12,4/18/2016 15:54,1,Cross-platform,Europe,M4,D2,H15
89.05,45,57868.44,206.98,0,Falkland Islands (Malvinas),99937696000,-0.15,4/3/2016 10:07,0,Polarized,South America,M4,D1,H10
70.41,27,66618.21,223.03,0,Dominica,576229630,-0.25,4/4/2016 21:30,0,Centralized,North America,M4,D2,H21
67.36,37,73104.47,233.56,0,Jersey,62216885436,-0.19,7/6/2016 16:00,0,Future-proofed,Europe,M7,D4,H16
46.98,50,21644.91,175.37,0,Lithuania,43047309306,-0.21,5/4/2016 9:00,1,Down-sized,Europe,M5,D4,H9
41.67,36,53817.02,132.55,0,Saint Martin,14032401568,-0.24,6/13/2016 18:50,1,Realigned,North America,M6,D2,H18
51.24,36,76368.31,176.73,0,Cuba,91370000000,-0.16,1/3/2016 16:01,1,Versatile,North America,M1,D1,H16
75.7,29,67633.44,215.44,0,United States Minor Outlying Islands,14032401568,-0.24,1/14/2016 0:23,0,Profound,North America,M1,D5,H0
43.49,47,50335.46,127.83,0,Belize,2258500000,-0.25,1/12/2016 10:07,1,User-centric,North America,M1,D3,H10
49.89,39,17709.98,160.03,1,Belize,2258500000,-0.25,4/16/2016 12:09,1,Enhanced,North America,M4,D7,H12
38.37,36,41229.16,140.46,0,Antarctica (the territory South of 60 deg S),843929640,-0.25,5/13/2016 6:09,1,Multi-layered,Oceania,M5,D6,H6
38.52,38,42581.23,137.28,1,Saint Vincent and the Grenadines,14032401568,-0.24,3/27/2016 23:59,1,Customer-focused,North America,M3,D1,H23
71.89,23,61617.98,172.81,1,Kuwait,1.09E+11,-0.14,2/3/2016 23:47,0,Function-based,Asia,M2,D4,H23
75.8,38,70575.6,146.19,1,Thailand,4.13E+11,0.16,4/18/2016 11:23,0,Progressive,Asia,M4,D2,H11
83.86,31,64122.36,190.25,0,Gibraltar,62216885436,-0.19,2/5/2016 19:06,0,Up-sized,Europe,M2,D6,H19
37.51,30,52097.32,163,1,Holy See (Vatican City State),62216885436,-0.19,3/21/2016 18:46,1,Re-contextualized,Europe,M3,D2,H18
55.6,44,65953.76,124.38,1,Korea,73215012755,-0.18,6/14/2016 11:59,1,Fully-configurable,Asia,M6,D3,H11
83.67,44,60192.72,234.26,1,Saint Helena,62216885436,-0.19,2/6/2016 23:08,0,Upgradable,Europe,M2,D7,H23
69.08,41,77460.07,210.6,0,Turks and Caicos Islands,1032452000,-0.25,3/12/2016 1:39,0,Ergonomic,North America,M3,D7,H1
37.47,44,45716.48,141.89,1,Czech Republic,62216885436,-0.19,1/26/2016 3:56,1,Realigned,Europe,M1,D3,H3
56.04,49,65120.86,128.95,1,Netherlands,7.84E+11,0.53,2/7/2016 8:02,1,Decentralized,Europe,M2,D1,H8
70.92,41,49995.63,108.16,1,Belarus,47722657821,-0.21,5/5/2016 7:58,1,Polarized,Europe,M5,D5,H7
49.78,46,71718.51,152.24,0,Dominica,576229630,-0.25,6/29/2016 2:43,1,Enterprise-wide,North America,M6,D4,H2
68.61,57,61770.34,150.29,0,South Africa,3.24E+11,0.07,4/10/2016 19:48,1,Diverse,Africa,M4,D1,H19
58.18,25,69112.84,176.28,1,New Zealand,1.89E+11,-0.06,2/10/2016 6:37,0,Polarized,Oceania,M2,D4,H6
78.54,35,72524.86,172.1,0,Togo,6031632168,-0.25,5/28/2016 20:41,0,Multi-channeled,Africa,M5,D7,H20
37,48,36782.38,158.22,1,Kenya,74815121315,-0.18,3/24/2016 6:36,1,Function-based,Africa,M3,D5,H6
65.4,33,66699.12,247.31,0,Palau,298300000,-0.25,2/12/2016 22:51,0,Adaptive,Oceania,M2,D6,H22
79.52,27,64287.78,183.48,1,Timor-Leste,1650619370,-0.25,6/10/2016 10:11,0,Automated,Asia,M6,D6,H10
87.98,38,56637.59,222.11,1,Cambodia,20016747754,-0.23,3/31/2016 10:44,0,Focused,Asia,M3,D5,H10
44.64,36,55787.58,127.01,0,Belize,2258500000,-0.25,2/14/2016 6:51,1,Up-sized,North America,M2,D1,H6
41.73,28,61142.33,202.18,1,Cuba,91370000000,-0.16,1/7/2016 19:16,1,Sharable,North America,M1,D5,H19
80.46,27,61625.87,207.96,1,Costa Rica,58847016045,-0.19,2/4/2016 2:13,0,Digitized,North America,M2,D5,H2
75.55,36,73234.87,159.24,0,Liechtenstein,6237264055,-0.25,5/9/2016 2:58,1,Managed,Europe,M5,D2,H2
76.32,35,74166.24,195.31,1,Korea,73215012755,-0.18,6/23/2016 0:16,0,Networked,Asia,M6,D5,H0
82.68,33,62669.59,222.77,1,Ukraine,93355993629,-0.16,6/20/2016 9:35,0,Re-engineered,Europe,M6,D2,H9
72.01,31,57756.89,251,0,Angola,49840491178,-0.2,2/29/2016 12:31,0,Horizontal,Africa,M2,D2,H12
75.83,24,58019.64,162.44,0,Nauru,99723395,-0.25,1/17/2016 15:10,0,Diverse,Oceania,M1,D1,H15
41.28,50,50960.08,140.39,0,Equatorial Guinea,11240809132,-0.24,1/29/2016 3:54,1,Universal,Africa,M1,D6,H3
34.66,32,48246.6,194.83,0,Mongolia,11181350461,-0.24,7/14/2016 12:07,1,Customer-focused,Asia,M7,D5,H12
66.18,55,28271.84,143.42,0,Svalbard & Jan Mayen Islands,62216885436,-0.19,1/10/2016 23:14,1,Vision-oriented,Europe,M1,D1,H23
86.06,31,53767.12,219.72,1,Timor-Leste,1650619370,-0.25,4/28/2016 18:34,0,Extended,Asia,M4,D5,H18
59.59,42,43662.1,104.78,1,Brazil,1.8E+12,1.55,7/6/2016 18:36,1,Re-engineered,South America,M7,D4,H18
86.69,34,62238.58,198.56,0,Chad,10097778354,-0.24,5/27/2016 6:19,0,Customer-focused,Africa,M5,D6,H6
43.77,52,49030.03,138.55,1,Portugal,2.06E+11,-0.05,1/25/2016 7:39,1,Synergized,Europe,M1,D2,H7
71.84,47,76003.47,199.79,1,Malawi,5433040160,-0.25,5/8/2016 22:47,0,Advanced,Africa,M5,D1,H22
80.23,31,68094.85,196.23,0,Qatar,1.52E+11,-0.1,3/19/2016 14:23,0,Secured,Asia,M3,D7,H14
74.41,26,64395.85,163.05,0,Singapore,3.19E+11,0.07,7/23/2016 4:37,0,Right-sized,Asia,M7,D7,H4
63.36,48,70053.27,137.43,0,Guinea,8595955581,-0.25,6/23/2016 1:22,1,Centralized,Africa,M6,D5,H1
71.74,35,72423.97,227.56,0,Kazakhstan,1.37E+11,-0.12,7/19/2016 18:06,0,Multi-channeled,Asia,M7,D3,H18
60.72,44,42995.8,105.69,0,Kuwait,1.09E+11,-0.14,2/28/2016 18:52,1,Synergized,Asia,M2,D1,H18
72.04,22,60309.58,199.43,0,Rwanda,8690878328,-0.25,2/10/2016 6:52,0,Realigned,Africa,M2,D4,H6
44.57,31,38349.78,133.17,1,China,1.12E+13,11.02,3/27/2016 9:11,1,Adaptive,Asia,M3,D1,H9
85.86,34,63115.34,208.23,0,Bouvet Island (Bouvetoya),843929640,-0.25,5/23/2016 2:15,0,Networked,Oceania,M5,D2,H2
39.85,38,31343.39,145.96,0,Vietnam,2.57E+11,0,1/3/2016 3:22,1,Profit-focused,Asia,M1,D1,H3
84.53,27,40763.13,168.34,0,Guatemala,66053725049,-0.19,1/4/2016 21:48,1,Stand-alone,North America,M1,D2,H21
62.95,60,36752.24,157.04,0,Peru,1.92E+11,-0.06,5/24/2016 13:30,1,Polarized,South America,M5,D3,H13
67.58,41,65044.59,255.61,1,Mayotte,11892806509,-0.24,2/1/2016 19:42,0,Focused,Africa,M2,D2,H19
85.56,29,53673.08,210.46,0,Samoa,843929640,-0.25,6/5/2016 13:16,0,Advanced,Oceania,M6,D1,H13
46.88,54,43444.86,136.64,0,Singapore,3.19E+11,0.07,2/4/2016 8:53,1,Virtual,Asia,M2,D5,H8
46.31,57,44248.52,153.98,1,Jamaica,14077109397,-0.24,3/24/2016 13:37,1,Front-line,North America,M3,D5,H13
77.95,31,62572.88,233.65,1,Bahamas,14032401568,-0.24,6/2/2016 21:02,0,Inverse,North America,M6,D5,H21
84.73,30,39840.55,153.76,0,Canada,1.53E+12,1.28,2/21/2016 7:42,1,Synchronized,North America,M2,D1,H7
39.86,36,32593.59,145.85,0,Algeria,1.6E+11,-0.09,6/26/2016 17:16,1,Total,Africa,M6,D1,H17
50.08,30,41629.86,123.91,0,Fiji,4930204220,-0.25,1/3/2016 5:34,1,Sharable,Oceania,M1,D1,H5
60.23,35,43313.73,106.86,0,Kenya,74815121315,-0.18,3/8/2016 18:00,1,Balanced,Africa,M3,D3,H18
60.7,49,42993.48,110.57,1,Argentina,5.58E+11,0.31,6/19/2016 3:19,1,Monitored,South America,M6,D1,H3
43.67,53,46004.31,143.79,1,Bouvet Island (Bouvetoya),843929640,-0.25,7/21/2016 21:16,1,Cloned,Oceania,M7,D5,H21
77.2,33,49325.48,254.05,1,Philippines,3.19E+11,0.07,2/12/2016 20:36,0,Persistent,Asia,M2,D6,H20
71.86,32,51633.34,116.53,0,Senegal,19040312815,-0.23,5/17/2016 6:14,1,Face-to-face,Africa,M5,D3,H6
44.78,45,63363.04,137.24,1,Suriname,3317437626,-0.25,7/9/2016 11:04,1,Extended,South America,M7,D7,H11
78.57,36,64045.93,239.32,1,Liberia,3398419600,-0.25,3/27/2016 2:35,0,Exclusive,Africa,M3,D1,H2
73.41,31,73049.3,201.26,1,Guam,5901000000,-0.25,1/16/2016 8:01,0,Profound,Oceania,M1,D7,H8
77.05,27,66624.6,191.14,0,United Arab Emirates,3.69E+11,0.12,1/21/2016 23:48,0,Reduced,Asia,M1,D5,H23
66.4,40,77567.85,214.42,0,Antigua and Barbuda,1436585185,-0.25,6/5/2016 0:29,0,Digitized,North America,M6,D1,H0
69.35,29,53431.35,252.77,1,Argentina,5.58E+11,0.31,2/13/2016 15:37,0,Seamless,South America,M2,D7,H15
35.65,40,31265.75,172.58,1,Georgia,15141758567,-0.24,5/10/2016 7:22,1,Seamless,Asia,M5,D3,H7
70.04,31,74780.74,183.85,1,Jordan,39892551149,-0.21,3/27/2016 3:59,0,Intuitive,Asia,M3,D1,H3
69.78,29,70410.11,218.79,0,Saudi Arabia,6.45E+11,0.39,5/24/2016 18:35,0,Multi-layered,Asia,M5,D3,H18
58.22,29,37345.24,120.9,0,South Africa,3.24E+11,0.07,2/11/2016 2:40,1,User-friendly,Africa,M2,D5,H2
76.9,28,66107.84,212.67,0,Croatia,52397494687,-0.2,4/22/2016 8:31,0,Synchronized,Europe,M4,D6,H8
84.08,30,62336.39,187.36,1,Fiji,4930204220,-0.25,1/13/2016 2:58,0,Face-to-face,Oceania,M1,D4,H2
59.51,58,39132.64,140.83,0,Australia,1.21E+12,0.96,6/16/2016 2:01,1,Assimilated,Oceania,M6,D5,H2
40.15,38,38745.29,134.88,1,Sao Tome and Principe,345495615,-0.25,6/27/2016 18:37,1,Exclusive,Africa,M6,D2,H18
76.81,28,65172.22,217.85,1,Fiji,4930204220,-0.25,7/3/2016 12:57,0,Managed,Oceania,M7,D1,H12
